"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"1",1255,"A1","delicata","Male","A_23","CL334_22",111,"31/3/2023","13/4/2023",13,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Cold","Control"
"2",1382,"A1","delicata","Female","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"B_R",1,"L",NA,"",0,1,"R",0,1,"",NA,"Hot","CORT"
"3",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"R_B",1,"R",0,"Correct choice made but not eaten",1,1,"R",1,1,"",1,"Hot","Control"
"4",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"B_R",1,"R",1,"",1,1,"L",0,0,"",1,"Cold","CORT"
"5",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"B_R",1,"C",0,"",0,1,"L",0,1,"",0,"Hot","Control"
"6",1478,"A2","guichenoti","Male","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"B_R",1,"C",NA,"",0,1,"R",0,1,"",NA,"Cold","CORT"
"7",2298,"A2","guichenoti","Female","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"B_R",1,"L",0,"",0,1,"C",0,0,"",0,"Hot","CORT"
"8",1207,"A3","delicata","Female","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"R_B",1,"R",0,"",0,1,"R",0,1,"",1,"Cold","CORT"
"9",1381,"A3","delicata","Male","A_28","CL373_22",122,"30/3/2023","13/4/2023",14,"R_B",1,"C",NA,"",0,1,"R",0,0,"",NA,"Hot","Control"
"10",1401,"A3","delicata","Female","B_28","CL377_22",115,"1/4/2023","13/4/2023",12,"R_B",1,"C",1,"",1,1,"R",0,1,"",0,"Hot","CORT"
"11",1283,"A4","guichenoti","Female","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"R_B",1,"L",NA,"",0,1,"R",1,1,"",NA,"Cold","Control"
"12",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"B_R",1,"R",0,"",1,1,"L",0,1,"",0,"Hot","CORT"
"13",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","Control"
"14",1276,"B1","guichenoti","Female","A_28","CL341_22",129,"29/3/2023","13/4/2023",15,"R_B",1,"L",0,"",1,1,"C",0,1,"",1,"Hot","Control"
"15",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","CORT"
"16",1198,"B2","delicata","Male","A_23","CL318_22",120,"29/3/2023","13/4/2023",15,"R_B",1,"R",1,"",1,1,"R",0,1,"",0,"Cold","Control"
"17",1233,"B2","delicata","Female","B_23","CL327_22",115,"31/3/2023","13/4/2023",13,"B_R",1,"R",NA,"",0,1,"C",1,1,"",NA,"Cold","CORT"
"18",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"B_R",1,"L",NA,"",0,1,"L",0,1,"",NA,"Hot","Control"
"19",1284,"B2","delicata","Male","B_28","CL345_22",129,"21/3/2023","13/4/2023",23,"B_R",1,"L",1,"",1,1,"C",0,1,"",1,"Hot","CORT"
"20",1432,"B3","guichenoti","Male","B_23","CL385_22",94,"20/3/2023","13/4/2023",24,"R_B",1,"L",0,"Ramp slipery",0,1,"R",1,1,"",1,"Cold","CORT"
"21",2047,"B3","guichenoti","Male","A_23","CL552_22",55,"27/3/2023","13/4/2023",17,"B_R",1,"R",NA,"",0,1,"L",0,1,"",NA,"Cold","Control"
"22",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"R_B",1,"L",0,"",1,1,"C",1,1,"",1,"Hot","Control"
"23",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"B_R",1,"L",1,"",1,1,"R",1,1,"",1,"Cold","CORT"
